CMD	LEVEL	REAL	USER	SYS	INSIZE	OUTSIZE
zstd	-1	0.27	0.87	0.10	211957760	73492110
zstd	-2	0.34	1.13	0.12	211957760	69590238
zstd	-3	0.77	2.18	0.16	211957760	66555252
zstd	-4	1.12	3.62	0.15	211957760	65397747
zstd	-5	1.18	4.03	0.16	211957760	63103408
zstd	-6	1.31	4.70	0.16	211957760	61614487
zstd	-7	1.75	6.36	0.14	211957760	60671009
zstd	-8	1.98	7.29	0.15	211957760	60089917
zstd	-9	2.36	8.66	0.19	211957760	59444071
zstd	-10	3.31	12.05	0.23	211957760	58758000
zstd	-11	4.62	17.07	0.22	211957760	58349622
zstd	-12	4.93	18.18	0.27	211957760	58297367
zstd	-13	9.16	31.90	0.23	211957760	58061114
zstd	-14	11.37	39.15	0.26	211957760	57656310
zstd	-15	13.80	47.96	0.28	211957760	57290541
zstd	-16	17.99	63.53	0.23	211957760	55356319
zstd	-17	27.68	77.59	0.33	211957760	54291272
zstd	-18	33.87	94.35	0.32	211957760	53438746
zstd	-19	41.35	120.88	0.40	211957760	52990851
xz	-0	3.60	14.08	0.08	211957760	63044060
xz	-1	5.60	20.92	0.12	211957760	58806352
xz	-2	9.11	33.08	0.15	211957760	57040940
xz	-3	16.58	53.93	0.22	211957760	55972532
xz	-4	20.56	69.99	0.26	211957760	52460796
xz	-5	27.24	91.73	0.42	211957760	50239424
xz	-6	31.21	107.97	0.46	211957760	49491320
xz	-7	36.63	113.90	0.77	211957760	49056988
xz	-8	60.08	112.21	0.85	211957760	48808676
xz	-9	105.46	109.10	0.76	211957760	48767332
